,OrderID,Tanggal_Pesanan,Produk,Kategori,Wilayah,Jumlah,Harga_Satuan,Metode_Pembayaran,Diskon,Total_Penjualan,Bulan
0,1,2025-04-10 15:24:43.861623,Smartphone,Elektronik,Denpasar,3,9210715,Bank Transfer,0.15,23487323.25,2025-04
1,2,2025-06-26 15:24:43.861623,Keyboard Mekanik,Periferal,Medan,3,625469,Debit Card,0.0,1876407.0,2025-06
2,3,2025-03-31 15:24:43.861623,Smartwatch,Aksesoris,Makassar,4,2675154,E-Wallet,0.05,10165585.2,2025-03
3,4,2025-01-12 15:24:43.861623,Laptop Gaming,Elektronik,Surabaya,3,23526086,Debit Card,0.05,67049345.099999994,2025-01
4,5,2025-04-14 15:24:43.861623,Monitor Curved,Periferal,Medan,2,5243087,Debit Card,0.05,9961865.299999999,2025-04
5,6,2025-03-10 15:24:43.861623,Monitor Curved,Periferal,Medan,4,2909711,Debit Card,0.0,11638844.0,2025-03
6,7,2025-01-18 15:24:43.861623,Monitor Curved,Periferal,Medan,2,5711584,Credit Card,0.0,11423168.0,2025-01
7,8,2025-04-10 15:24:43.861623,Monitor Curved,Periferal,Medan,3,3619715,E-Wallet,0.0,10859145.0,2025-04
8,9,2025-04-29 15:24:43.861623,Monitor Curved,Periferal,Medan,3,4590310,Debit Card,0.1,12393837.0,2025-04
9,10,2025-03-13 15:24:43.861623,Laptop Gaming,Elektronik,Surabaya,2,21314768,Debit Card,0.1,38366582.4,2025-03
10,11,2025-03-26 15:24:43.861623,Smartphone,Elektronik,Jakarta,1,11324454,Bank Transfer,0.0,11324454.0,2025-03
11,12,2025-04-24 15:24:43.861623,Smartwatch,Aksesoris,Makassar,3,1127387,E-Wallet,0.0,3382161.0,2025-04
12,13,2025-04-07 15:24:43.861623,Keyboard Mekanik,Periferal,Jakarta,1,834995,Debit Card,0.1,751495.5,2025-04
13,14,2025-04-11 15:24:43.861623,Smartphone,Elektronik,Medan,3,11064220,Bank Transfer,0.05,31533027.0,2025-04
14,15,2025-05-29 15:24:43.861623,Headphone Wireless,Aksesoris,Jakarta,1,1098843,Bank Transfer,0.1,988958.7000000001,2025-05
15,16,2025-05-08 15:24:43.861623,Smartwatch,Aksesoris,Medan,1,2244613,Credit Card,0.0,2244613.0,2025-05
16,17,2025-05-27 15:24:43.861623,Headphone Wireless,Aksesoris,Medan,1,1143441,Bank Transfer,0.0,1143441.0,2025-05
17,18,2025-02-19 15:24:43.861623,Smartwatch,Aksesoris,Jakarta,2,1135684,Debit Card,0.05,2157799.6,2025-02
18,19,2024-12-30 15:24:43.861623,Keyboard Mekanik,Periferal,Jakarta,1,457022,Credit Card,0.05,434170.89999999997,2024-12
19,20,2025-03-26 15:24:43.861623,Smartwatch,Aksesoris,Jakarta,1,1930844,Credit Card,0.0,1930844.0,2025-03
20,21,2025-06-04 15:24:43.861623,Headphone Wireless,Aksesoris,Medan,1,1297858,Debit Card,0.0,1297858.0,2025-06
21,22,2025-02-04 15:24:43.861623,Smartphone,Elektronik,Makassar,3,5456070,E-Wallet,0.0,16368210.0,2025-02
22,23,2025-05-07 15:24:43.861623,Headphone Wireless,Aksesoris,Jakarta,1,789626,Bank Transfer,0.0,789626.0,2025-05
23,24,2025-01-18 15:24:43.861623,Smartphone,Elektronik,Medan,3,3288859,Credit Card,0.0,9866577.0,2025-01
24,25,2025-06-07 15:24:43.861623,Smartphone,Elektronik,Surabaya,1,8008341,E-Wallet,0.15,6807089.85,2025-06
25,26,2025-02-24 15:24:43.861623,Headphone Wireless,Aksesoris,Surabaya,1,855462,Debit Card,0.0,855462.0,2025-02
26,27,2025-01-19 15:24:43.861623,Laptop Gaming,Elektronik,Denpasar,2,16546236,Bank Transfer,0.1,29783224.8,2025-01
27,28,2025-03-27 15:24:43.861623,Smartphone,Elektronik,Surabaya,3,11982913,Bank Transfer,0.0,35948739.0,2025-03
28,29,2025-02-15 15:24:43.861623,Headphone Wireless,Aksesoris,Surabaya,1,363037,Credit Card,0.05,344885.14999999997,2025-02
29,30,2025-02-25 15:24:43.861623,Smartphone,Elektronik,Jakarta,3,6759834,Bank Transfer,0.15,17237576.7,2025-02
30,31,2025-06-16 15:24:43.861623,Smartphone,Elektronik,Jakarta,3,5627988,Bank Transfer,0.0,16883964.0,2025-06
31,32,2025-01-12 15:24:43.861623,Smartwatch,Aksesoris,Jakarta,4,1982789,Bank Transfer,0.0,7931156.0,2025-01
32,33,2025-06-21 15:24:43.861623,Smartwatch,Aksesoris,Jakarta,2,904366,Bank Transfer,0.0,1808732.0,2025-06
33,34,2025-02-17 15:24:43.861623,Laptop Gaming,Elektronik,Medan,2,15502420,Debit Card,0.0,31004840.0,2025-02
34,35,2025-04-15 15:24:43.861623,Keyboard Mekanik,Periferal,Surabaya,2,554249,E-Wallet,0.05,1053073.0999999999,2025-04
35,36,2025-02-21 15:24:43.861623,Headphone Wireless,Aksesoris,Surabaya,4,1338199,Debit Card,0.1,4817516.4,2025-02
36,37,2025-03-02 15:24:43.861623,Smartwatch,Aksesoris,Jakarta,4,1360902,Debit Card,0.0,5443608.0,2025-03
37,38,2025-05-08 15:24:43.861623,Headphone Wireless,Aksesoris,Jakarta,2,1409004,Credit Card,0.0,2818008.0,2025-05
38,39,2025-02-17 15:24:43.861623,Keyboard Mekanik,Periferal,Medan,4,1770073,Bank Transfer,0.0,7080292.0,2025-02
39,40,2025-05-12 15:24:43.861623,Monitor Curved,Periferal,Denpasar,4,6153585,Debit Card,0.05,23383623.0,2025-05
40,41,2025-01-18 15:24:43.861623,Smartwatch,Aksesoris,Jakarta,4,2385996,Bank Transfer,0.0,9543984.0,2025-01
41,42,2025-03-11 15:24:43.861623,Monitor Curved,Periferal,Makassar,2,7430484,Debit Card,0.0,14860968.0,2025-03
42,43,2025-06-13 15:24:43.861623,Laptop Gaming,Elektronik,Medan,2,18246417,Debit Card,0.05,34668192.3,2025-06
43,44,2025-01-15 15:24:43.861623,Smartphone,Elektronik,Medan,2,4352144,Credit Card,0.05,8269073.6,2025-01
